county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
48329,TX-Midland County,10496,8585.92,3726.4,2239.56,1093.63,770.61,539.38,185.89,TX
48331,TX-Milam County,2637,11358.64,4827.46,1727.31,2830.07,1328.88,449.32,207.83,TX
48333,TX-Mills County,668,8574.48,3901.34,1498.18,1838.68,694.11,550.37,139.86,TX
48335,TX-Mitchell County,932,10889.53,5206.42,1828.6,2247.66,1056.01,384.95,169.29,TX
48337,TX-Montague County,3460,10504.46,4855.57,2120.3,1818.5,985.33,620.85,191.71,TX
48339,TX-Montgomery County,32692,11751.59,5276.21,3429.11,1432.38,875.9,608.6,179.83,TX
48341,TX-Moore County,1607,9505.26,4471.77,2588.62,1232.35,605.62,415.75,193.54,TX
48343,TX-Morris County,1310,10481.44,4179.5,2622.56,1603.56,1401.62,345.75,319.57,TX
48345,TX-Motley County,231,9241.39,3944.62,1984.35,1762.95,1084.47,,209.95,TX
48347,TX-Nacogdoches County,6234,10564.59,4610.06,2405.09,1388.37,1492.05,358.81,305.19,TX
48349,TX-Navarro County,5356,9930.09,4263.96,2503.2,1373.48,1103.26,474.8,212.88,TX
48351,TX-Newton County,1331,10673.03,4388.57,2500.44,1543.24,1536.61,602.66,154.4,TX
48353,TX-Nolan County,2084,10385.48,4810.32,2139.14,1865.32,868.91,402.81,315.86,TX
48355,TX-Nueces County,18576,10333.36,4255.14,2961.7,1177.68,1053.0,655.4,192.77,TX
48357,TX-Ochiltree County,893,8175.35,4091.24,1897.66,1482.7,330.09,204.85,176.68,TX
48359,TX-Oldham County,308,8413.14,4303.9,2243.54,758.54,818.96,,129.44,TX
48361,TX-Orange County,7728,11041.78,4627.36,2773.13,1396.13,1129.57,1058.29,147.25,TX
48363,TX-Palo Pinto County,3716,11115.32,4835.07,2830.26,1537.88,1157.88,555.51,279.12,TX
48365,TX-Panola County,2733,10675.05,4705.37,2188.01,1729.12,1345.62,484.99,241.88,TX
48367,TX-Parker County,13103,10933.73,4651.04,3171.88,1379.11,973.22,564.83,253.31,TX
